name,carbohydrates,fiber,sugars,potassium,vitaminC
"Beet greens, raw",3.7,4.33,0.5,762,30
"Beet greens, cooked",5.46,2.9,0.6,909,24.9
"Broccoli raab or Broccoli rabe, raw",2.85,2.7,0.38,196,20.2
"Broccoli raab or Broccoli rabe, cooked",3.12,2.8,0.62,343,37
"Brussels Sprouts, raw",8.95,3.8,2.2,389,85
"Brussels Sprouts, cooked",7.1,2.6,1.74,317,62
"Cabbage, chinese or pak0choi, raw",2.18,1,1.18,252,45
"Cabbage, common, raw",5.37,2.3,0,246,51
"Cabbage, common, cooked",5.51,1.9,2.79,196,37.5
"Cabbage, red, raw",7.37,2.1,3.83,243,57
"Cabbage, red, cooked",6.94,2.6,3.32,262,34.4
"Cabbage, savoy, raw",6.1,3.1,2.27,230,31
"Cabbage, savoy, cooked",5.41,2.8,0,184,17
"Celery, raw",2.97,1.6,1.83,260,3.1
"Celery, cooked",4,1.6,2.37,284,6.1
"Chard, swiss, raw",3.74,1.6,1.1,379,3
"Chard, swiss, cooked",4.13,2.1,1.1,549,18
"Cress, garden, raw",5.5,1.1,4.4,606,69
"Cress, garden, cooked",3.8,0.7,3.11,353,23
"Dandelion greens, raw",9.2,3.5,0.71,397,35
"Dandelion greens, cooked",6.4,2.9,0.5,232,18
"Endive, raw",3.35,3.1,0.25,314,6.5
"Kale, raw",10.01,2,0,447,120
"Kale, cooked",5.63,2,1.25,228,41
"Lettuce, butterhead, raw",2.23,1.1,0.94,238,3.7
"Lettuce, cos or romaine, raw",3.29,2.1,1.19,247,4
"Lettuce, green leaf, raw",2.87,1.3,0.78,194,9.2
"Lettuce, iceberg (includes crisphead types), raw",2.97,1.2,1.97,141,2.8
"Lettuce, red leaf, raw",2.26,0.9,0.48,187,3.7
"Radicchio, raw",4.48,0.9,0.6,302,8
"Sorrel or spinach dock, raw",3.2,2.9,0,390,48
"Sorrel or spinach dock, cooked",2.93,2.6,0,321,26.3
"Spinach, raw",3.63,2.2,0.42,558,28.1
"Spinach, cooked",3.75,2.4,0.43,466,9.8
"Cucumber, with peel, raw",3.63,0.5,1.67,147,2.8
"Eggplant or Aubergine, raw",5.7,3.4,2.35,230,2.2
"Eggplant or Aubergine, cooked",8.73,2.5,3.2,123,1.3
"Peppers, sweet, green, raw",4.64,1.7,2.4,175,80.4
"Peppers, sweet, green, cooked",6.7,1.2,3.19,166,74.4
"Peppers, sweet, red, raw",6.03,2.1,4.2,211,127.7
"Peppers, sweet, red, cooked",6.7,1.2,4.39,166,171
"Peppers, sweet, yellow, raw",6.32,0.9,0,212,183.5
"Pumpkin, raw",6.5,0.5,1.36,340,9
"Pumpkin, cooked",4.9,1.1,1.02,230,4.7
"Squash, summer, zucchini or courgette, includes skin, raw",3.11,1,2.5,261,17.9
"Squash, summer, zucchini or courgette, includes skin, cooked",2.69,1,1.71,264,12.9
"Squash, winter, butternut, raw",11.69,2,2.2,352,21
"Squash, winter, butternut, cooked",10.49,3.2,1.97,284,15.1
"Sweet corn, cooked",20.98,2.4,4.54,218,5.5
"Tomatoes, red, ripe, raw",3.89,1.2,2.63,237,13.7
"Tomatoes, red, ripe, cooked",13.05,1.7,0,247,18.2
"Artichokes, cooked",11.95,8.6,0.99,286,7.4
"Broccoli, raw",6.64,2.6,1.7,316,89.2
"Broccoli, cooked",7.18,3.3,1.39,293,64.9
"Cauliflower, raw",4.97,2,1.91,299,48.2
"Cauliflower, cooked",4.11,2.3,2.08,142,44.3
"Broadbeans, cooked",19.65,5.4,1.82,268,0.3
"Chickpeas, cooked",27.42,7.6,4.8,291,1.3
"French beans, cooked",24.02,9.4,0,370,1.2
"Kidney beans, cooked",22.8,6.4,0.32,405,1.2
"Lentils, cooked",20.13,7.9,1.8,369,1.5
"Navy beans, cooked",26.05,10.5,0.37,389,0.9
"Okra, cooked",4.51,2.5,2.4,135,16.3
"Peas, green, raw",14.45,5.1,5.67,244,40
"Peas, green, cooked",15.63,5.5,5.93,271,14.2
"Peanuts, cooked",21.51,8,4.18,658,0
"Pinto beans, cooked",26.22,9,0.34,436,0.8
"Soybeans, cooked",9.93,6,3,515,1.7
"Asparagus, cooked",4.11,2,1.3,224,7.7
"Celeriac, raw",9.02,1.8,1.6,300,8
"Celeriac, cooked",5.9,1.2,0,173,3.6
"Celery, raw",2.97,1.6,1.83,260,3.1
"Celery, cooked",4,1.6,2.37,284,6.1
"Garlic, raw",33.06,2.1,1,401,31.2
"Fennel, raw",7.29,3.1,0,414,12
"Kohlrabi, raw",6.2,3.6,2.6,350,62
"Kohlrabi, cooked",6.69,1.1,2.8,340,54
"Leeks, raw",14.15,1.8,3.9,180,12
"Leeks, cooked",7.62,1,2.11,87,4.2
"Onions, raw",9.34,1.7,4.24,146,7.4
"Onions, cooked",10.15,1.4,4.73,166,5.2
"Spring onion or scallions, raw",7.34,2.6,2.33,276,18.8
"Shallots, raw",16.8,0,0,334,8
"Beetroots or beets, raw",9.56,2.8,6.76,325,4.9
"Beetroots or beets, cooked",9.96,2,7.96,305,3.6
"Carrots, raw",9.58,2.8,4.74,320,5.9
"Carrots, cooked",8.22,3,3.45,235,3.6
"Ginger root, raw",17.77,2,1.7,415,5
"Parsnips, cooked",17.01,3.6,4.8,367,13
"Potatoes, cooked without skin",20.01,1.8,0.85,328,7.4
"Radishes, raw",3.4,1.6,1.86,233,14.8
"Sweet Potato, cooked",17.72,2.5,5.74,230,12.8
"Turnips or swede, raw",6.43,1.8,3.8,191,21
"Turnips or swede, cooked",5.06,2,2.99,177,11.6
"Wasabi, root, raw",23.54,7.8,0,568,41.9
"Yam, cooked",27.48,3.9,0.49,670,12.1